,Date,Open
69,2020-07-14,9238.703125
70,2020-07-15,9241.897461
71,2020-07-16,9191.980469
72,2020-07-17,9131.8125
73,2020-07-18,9151.183594
74,2020-07-19,9158.005859
75,2020-07-20,9187.220703
76,2020-07-21,9162.514648
77,2020-07-22,9375.080078
78,2020-07-23,9527.141602
79,2020-07-24,9585.514648
80,2020-07-25,9539.485352
81,2020-07-26,9680.234375
82,2020-07-27,9905.217773
83,2020-07-28,11017.463867
84,2020-07-29,10912.953125
85,2020-07-30,11099.833008
86,2020-07-31,11110.210938
87,2020-08-01,11322.570313
88,2020-08-02,11758.764648
89,2020-08-03,11043.768555
90,2020-08-04,11246.203125
91,2020-08-05,11203.823242
92,2020-08-06,11749.871094
93,2020-08-07,11778.894531
94,2020-08-08,11604.553711
95,2020-08-09,11737.325195
96,2020-08-10,11662.256836
97,2020-08-11,11881.647461
98,2020-08-12,11404.59668
99,2020-08-13,11588.405273
100,2020-08-14,11772.65918
101,2020-08-15,11768.697266
102,2020-08-16,11866.685547
103,2020-08-17,11895.658203
104,2020-08-18,12251.895508
105,2020-08-19,11990.884766
106,2020-08-20,11761.5
107,2020-08-21,11878.026367
108,2020-08-22,11585.477539
109,2020-08-23,11679.696289
110,2020-08-24,11663.689453
111,2020-08-25,11773.588867
112,2020-08-26,11366.894531
113,2020-08-27,11485.608398
114,2020-08-28,11325.295898
115,2020-08-29,11541.054688
116,2020-08-30,11508.713867
117,2020-08-31,11713.306641
118,2020-09-01,11679.316406
119,2020-09-02,11964.823242
120,2020-09-03,11407.191406
121,2020-09-04,10230.365234
122,2020-09-05,10512.530273
123,2020-09-06,10167.216797
124,2020-09-07,10280.998047
125,2020-09-08,10369.306641
126,2020-09-09,10134.151367
127,2020-09-10,10242.330078
128,2020-09-11,10369.02832
129,2020-09-12,10409.861328
130,2020-09-13,10452.399414
131,2020-09-14,10328.734375
132,2020-09-15,10677.754883
133,2020-09-16,10797.761719
134,2020-09-17,10973.251953
135,2020-09-18,10951.820313
136,2020-09-19,10933.75293
137,2020-09-20,11095.870117
138,2020-09-21,10934.925781
139,2020-09-22,10459.624023
140,2020-09-23,10535.492188
141,2020-09-24,10248.786133
142,2020-09-25,10761.109375
143,2020-09-26,10695.575195
144,2020-09-27,10746.892578
145,2020-09-28,10776.613281
146,2020-09-29,10709.650391
147,2020-09-30,10843.871094
148,2020-10-01,10795.254883
149,2020-10-02,10619.821289
150,2020-10-03,10575.100586
151,2020-10-04,10550.44043
152,2020-10-05,10676.529297
153,2020-10-06,10796.306641
154,2020-10-07,10603.355469
155,2020-10-08,10669.371094
156,2020-10-09,10927.913086
157,2020-10-10,11059.142578
158,2020-10-11,11296.082031
159,2020-10-12,11392.635742
160,2020-10-13,11548.719727
161,2020-10-14,11429.047852
162,2020-10-15,11426.602539
163,2020-10-16,11502.828125
164,2020-10-17,11322.123047
165,2020-10-18,11355.982422
166,2020-10-19,11495.038086
167,2020-10-20,11745.974609
168,2020-10-21,11913.077148
169,2020-10-22,12801.635742
170,2020-10-23,12971.548828
171,2020-10-24,12931.574219
172,2020-10-25,13108.063477
173,2020-10-26,13031.201172
174,2020-10-27,13075.242188
175,2020-10-28,13654.214844
176,2020-10-29,13271.298828
177,2020-10-30,13437.874023
178,2020-10-31,13546.532227
179,2020-11-01,13780.995117
180,2020-11-02,13737.032227
181,2020-11-03,13550.451172
182,2020-11-04,13950.488281
183,2020-11-05,14133.733398
184,2020-11-06,15579.729492
185,2020-11-07,15565.880859
186,2020-11-08,14833.753906
